Date,Close
1969-01-01,41.09978346
1970-01-01,35.96352941
1971-01-01,40.79547619
1972-01-01,58.17387795
1973-01-01,97.11736364
1974-01-01,158.7635827
1975-01-01,160.8659449
1976-01-01,124.8017647
1977-01-01,147.8381944
1978-01-01,193.5740079
1979-01-01,307.0086957
1980-01-01,614.7525591
1981-01-01,459.1633466
1982-01-01,376.1084325
1983-01-01,423.7073413
1984-01-01,360.6546627
1985-01-01,317.4245059
1986-01-01,368.1980237
1987-01-01,446.8367589
1988-01-01,436.7843874
1989-01-01,381.2678571
1990-01-01,383.7326087
1991-01-01,362.3411067
1992-01-01,343.8687008
1993-01-01,360.0474308
1994-01-01,384.1593254
1995-01-01,384.0706349
1996-01-01,387.7348425
1997-01-01,330.9968379
1998-01-01,294.122332
1999-01-01,278.8626984
2000-01-01,279.2896825
2001-01-01,271.1901186
2002-01-01,310.0759921
2003-01-01,363.8316206
2004-01-01,409.5322835
2005-01-01,444.9878968
2006-01-01,604.3378968
2007-01-01,696.4312253
2008-01-01,872.3722441
2009-01-01,973.6581028
2010-01-01,1226.664625
2011-01-01,1573.15996
2012-01-01,1668.857143
2013-01-01,1409.505929
2014-01-01,1266.062648
2015-01-01,1159.821146
2016-01-01,1249.844071
2017-01-01,1257.793028
2018-01-01,1268.928854
2019-01-01,1393.341667
2020-01-01,1771.843478
2021-01-01,1799.1026